food_item,calories_(kcal),protein_(g),carbohydrates_(g),fat_(g)
Apple,385,18.6,72.1,30.2
Butter,453,14.8,90.5,19.3
Pork Chop,348,1.9,83.9,34.2
Strawberry,367,46.7,42.6,22.7
Milkshake,311,37.9,7.5,39.4
Cheese,410,19.8,37.7,6.2
Carrot,255,19.0,9.4,3.1
Pork Chop,410,48.5,14.3,18.6
Rice,205,45.8,43.8,49.1
Grapes,78,35.8,69.6,8.1
Strawberry,208,11.9,28.0,32.9
Strawberry,199,10.6,86.1,14.4
Paneer,258,2.7,13.5,30.1
Milkshake,520,11.4,57.3,41.7
Nuts,408,4.3,6.1,3.3
Salmon,336,46.4,46.9,8.1
Coffee,550,31.9,26.2,27.5
Grapes,155,5.5,40.3,29.4
Milk,96,49.2,90.9,48.2
Water,329,21.1,45.3,20.1
Coffee,258,49.0,13.1,25.5
Bread,447,4.3,34.7,46.6
Orange,61,44.9,68.2,28.7
Orange,60,32.6,77.9,31.3
Carrot,422,23.4,13.7,25.0
Orange Juice,491,23.6,33.5,24.2
Pork Chop,199,11.3,75.1,29.8
Carrot,78,14.5,80.1,49.8
Orange,588,29.2,14.5,33.0
Green Tea,520,3.5,46.3,9.7
Potato,66,45.9,30.0,6.3
Water,225,39.2,59.7,6.0
Butter,399,25.8,51.2,9.0
Salmon,593,46.3,94.6,38.9
Milk,183,3.9,29.5,20.8
Spinach,460,5.6,96.2,23.4
Milk,458,8.8,23.6,19.2
Coffee,463,40.1,28.0,32.1
Coffee,484,46.7,23.2,5.3
Yogurt,152,14.0,74.9,6.5
Eggs,421,13.4,74.7,41.8
Chicken Breast,194,27.8,32.3,48.4
Butter,573,25.0,76.1,16.2
Bread,436,42.2,64.7,24.5
Banana,257,17.4,81.2,10.2
Tomato,127,33.2,43.5,25.6
Broccoli,422,14.8,92.7,19.1
Chips,501,2.1,9.6,48.8
Orange,513,5.2,19.5,44.8
Oats,169,49.0,80.0,3.8
Salmon,399,36.3,34.9,23.8
Paneer,388,3.4,74.1,47.6
Green Tea,401,43.1,58.7,43.8
Bread,445,45.3,60.0,41.4
Tomato,137,22.5,40.2,29.0
Cheese,144,33.0,53.2,22.5
Orange Juice,188,11.8,7.5,29.4
Coffee,233,23.4,87.6,16.5
Orange,246,22.6,86.8,12.5
Eggs,113,17.0,39.3,35.8
Eggs,494,33.7,71.9,25.9
Banana,477,26.1,97.1,10.8
Oats,455,11.2,76.5,49.1
Beef Steak,308,25.3,43.8,30.8
Nuts,546,24.0,49.5,19.6
Orange,466,28.9,46.8,12.3
Popcorn,575,28.1,10.4,11.4
Chocolate,297,41.3,62.3,18.7
Water,243,30.7,5.7,36.1
Rice,450,5.7,98.3,7.8
Rice,549,21.8,34.3,2.7
Rice,145,35.5,72.7,48.4
Banana,587,1.3,49.2,19.2
Paneer,214,21.6,88.2,20.3
Oats,334,12.1,51.4,32.0
Tomato,263,30.7,24.9,23.9
Beef Steak,487,31.2,52.9,26.0
Beef Steak,277,11.1,75.8,13.5
Broccoli,277,44.2,82.2,32.6
Spinach,220,7.9,60.1,8.3
Quinoa,56,24.1,79.7,17.6
Rice,554,31.6,17.2,34.0
Butter,409,40.2,42.3,13.6
Chicken Breast,515,45.8,92.5,3.2
Bread,270,49.0,16.3,37.4
Rice,198,25.1,15.3,2.3
Butter,486,36.5,61.9,30.3
Popcorn,416,49.5,45.5,34.1
Cookies,450,32.0,31.3,7.7
Pasta,478,17.0,13.3,31.3
Coffee,283,8.5,14.5,13.8
Milk,586,2.5,51.6,17.2
Chips,515,21.8,28.1,20.2
Rice,325,14.9,53.7,31.2
Orange Juice,314,4.6,30.6,32.7
Nuts,165,3.1,97.3,31.2
Popcorn,278,17.2,67.7,3.8
Eggs,553,10.5,54.0,33.8
Apple,595,23.5,18.2,30.1
Coffee,371,46.4,95.3,6.1
Chicken Breast,235,13.1,82.0,23.4
Pasta,341,26.1,7.8,18.8
Strawberry,57,20.1,22.7,49.9
Paneer,216,3.2,39.6,17.7
Strawberry,331,28.3,93.4,19.8
Broccoli,585,25.6,83.5,41.3
Rice,494,41.8,16.1,36.2
Water,289,20.6,79.3,2.6
Apple,193,26.3,99.3,24.4
Milkshake,148,49.6,78.0,36.0
Coffee,423,40.6,67.0,42.5
Apple,525,48.8,57.9,21.7
Chips,456,8.0,68.0,18.8
Milkshake,434,43.8,57.6,4.9
Banana,597,21.6,35.3,14.2
Pork Chop,571,1.8,23.1,16.0
Yogurt,313,12.8,50.1,40.9
Orange,246,12.7,27.5,44.9
Broccoli,229,23.9,74.3,46.8
Paneer,237,20.2,98.6,24.1
Nuts,60,11.4,68.9,23.7
Strawberry,525,9.5,34.6,14.6
Spinach,538,29.6,96.9,3.8
Carrot,346,27.8,71.1,45.3
Water,436,22.5,78.5,3.6
Popcorn,370,6.6,79.0,47.1
Yogurt,159,9.5,71.5,40.4
Beef Steak,84,47.3,80.9,8.3
Coffee,488,47.0,52.6,36.1
Carrot,588,14.1,54.6,33.0
Coffee,178,28.2,47.9,13.8
Butter,192,4.5,18.7,10.3
Milkshake,471,23.6,80.4,45.7
Apple,245,40.6,31.2,6.8
Popcorn,260,17.8,96.0,6.8
Potato,427,20.0,90.8,11.4
Banana,191,10.3,46.8,25.2
Milk,140,2.9,63.5,19.6
Chips,372,18.2,47.7,28.6
Yogurt,242,44.5,25.0,38.2
Cheese,87,10.3,74.2,39.7
Carrot,213,32.4,49.0,21.5
Eggs,269,23.4,84.6,28.1
Orange Juice,277,10.7,64.5,23.0
Orange Juice,336,29.6,99.7,25.4
Pork Chop,160,49.8,50.9,40.8
Rice,254,46.5,46.1,49.7
Rice,449,8.5,40.3,48.3
Oats,495,29.5,93.4,18.7
Banana,150,26.9,6.0,22.2
Carrot,335,24.7,57.0,4.1
Butter,298,6.0,90.9,34.0
Rice,303,2.0,9.7,49.4
Strawberry,335,26.1,88.4,5.2
Broccoli,401,28.3,21.5,10.5
Potato,120,40.1,38.9,21.9
Chicken Breast,74,6.7,63.4,25.2
Green Tea,598,9.2,35.1,34.9
Popcorn,337,46.3,62.9,5.9
Coffee,538,42.3,98.2,27.5
Pork Chop,393,32.0,94.0,28.7
Salmon,299,39.8,70.2,20.3
Nuts,267,19.0,7.6,21.8
Orange Juice,336,33.8,40.5,19.0
Butter,447,39.7,72.2,14.4
Cheese,300,41.3,76.3,11.7
Potato,346,17.9,25.6,30.4
Popcorn,334,17.3,41.5,26.0
Bread,406,7.3,82.5,36.6
Water,263,24.3,34.0,6.5
Oats,351,38.3,97.3,18.9
Paneer,171,6.6,30.0,29.4
Orange,52,30.7,85.4,10.0
Tomato,77,15.4,10.8,24.9
Popcorn,315,21.2,64.9,33.1
Chicken Breast,542,7.9,80.1,19.8
Banana,273,34.3,82.5,16.5
Carrot,282,6.7,72.5,45.6
Quinoa,532,25.3,90.1,19.7
Bread,179,45.7,11.2,7.6
Pasta,349,43.5,8.5,38.1
Broccoli,576,1.0,29.2,32.8
Orange,579,32.4,29.6,15.7
Chicken Breast,459,25.6,61.7,36.9
Milkshake,138,2.1,94.0,42.6
Cookies,409,26.0,52.1,16.5
Chicken Breast,436,18.3,43.0,39.0
Rice,485,19.1,83.0,46.5
Coffee,237,20.6,47.6,6.6
Oats,375,26.1,28.7,19.5
Nuts,125,42.3,57.4,42.6
Milkshake,527,21.2,58.3,48.1
Bread,398,47.1,40.8,27.4
Salmon,356,5.5,56.0,28.6
Butter,524,27.5,23.4,11.6
Strawberry,271,49.6,8.5,8.9
Nuts,545,48.7,5.6,47.4
Cookies,270,36.5,24.5,5.0
Pork Chop,281,30.3,59.4,48.4
Nuts,444,17.1,64.5,30.0
Nuts,101,23.6,83.2,18.5
Milkshake,423,4.6,62.7,38.6
Apple,441,47.0,27.5,10.1
Butter,325,32.8,89.9,21.0
Nuts,395,41.6,90.8,19.8
Potato,456,24.8,13.5,33.7
Rice,52,9.6,62.5,34.8
Chips,457,2.4,95.5,24.8
Paneer,403,41.0,53.2,18.2
Broccoli,174,23.2,40.1,49.3
Chips,263,4.6,75.2,43.5
Orange Juice,599,46.2,27.1,31.9
Tomato,60,1.2,64.7,10.2
Pasta,524,30.3,91.5,33.7
Orange,588,30.8,55.6,23.3
Bread,387,48.4,82.9,20.0
Grapes,334,4.9,88.6,8.1
Bread,256,10.8,65.7,36.8
Beef Steak,136,22.9,22.6,27.0
Cheese,199,31.2,53.6,26.4
Strawberry,560,7.9,86.5,46.2
Cookies,235,48.8,13.9,38.5
Tomato,344,34.4,85.4,2.6
Quinoa,239,27.2,48.0,37.7
Eggs,482,28.0,90.7,44.8
Nuts,536,12.4,19.7,15.0
Cheese,138,13.7,14.7,37.7
Butter,407,36.1,22.9,22.3
Coffee,474,47.3,45.4,24.8
Green Tea,512,8.2,82.0,37.5
Strawberry,285,46.1,8.7,24.9
Beef Steak,392,8.6,25.9,48.5
Chips,219,40.9,67.2,37.7
Cookies,254,37.1,21.1,5.2
Milkshake,123,6.4,75.8,12.1
Coffee,116,15.1,88.5,31.2
Orange,255,21.0,74.4,47.2
Yogurt,565,44.9,52.5,29.5
Nuts,270,32.6,96.5,5.3
Cookies,245,5.1,66.0,38.4
Carrot,327,2.7,20.4,15.1
Potato,441,28.0,9.9,13.1
Bread,312,35.9,9.9,33.7
Water,322,18.4,44.1,27.9
Tomato,196,26.2,52.5,35.9
Cheese,183,2.2,23.1,39.0
Chips,449,30.3,53.1,49.8
Paneer,495,38.7,47.3,31.7
Coffee,76,3.1,65.8,16.2
Orange,368,26.8,46.9,18.8
Bread,282,2.4,98.7,23.0
Milkshake,68,22.1,35.2,25.5
Strawberry,583,5.6,57.7,45.2
Carrot,555,18.1,38.1,45.8
Oats,71,30.1,85.9,45.6
Pork Chop,134,7.7,84.6,33.3
Chicken Breast,522,39.1,40.7,42.1
Rice,502,7.1,59.2,39.8
Strawberry,548,9.4,39.2,14.0
Grapes,371,31.6,92.1,39.0
Beef Steak,310,12.3,73.1,14.1
Spinach,128,44.6,6.9,27.8
Tomato,278,49.5,95.7,4.2
Strawberry,127,12.3,46.0,6.1
Water,200,25.0,65.6,23.5
Carrot,358,41.0,21.9,46.8
Potato,407,27.7,62.1,27.8
Rice,548,46.9,74.8,38.9
Oats,68,6.4,22.4,8.5
Cookies,382,37.6,82.5,42.3
Nuts,270,33.6,18.6,17.2
Milkshake,277,47.5,61.2,9.1
Grapes,578,43.8,76.5,41.3
Cheese,452,17.1,81.1,6.1
Banana,329,26.1,61.2,36.2
Spinach,552,23.4,9.5,21.9
Cookies,157,26.3,44.9,11.6
Bread,467,24.0,11.7,7.7
Yogurt,162,5.0,94.0,37.6
Eggs,72,34.7,30.6,18.9
Yogurt,194,28.1,57.5,3.2
Popcorn,488,49.5,66.8,31.1
Yogurt,179,17.4,99.0,30.4
Cookies,254,14.5,37.2,17.2
Orange Juice,272,3.2,46.1,8.0
Pork Chop,583,41.4,43.9,30.8
Butter,413,35.5,19.9,19.9
Water,294,50.0,72.1,3.4
Green Tea,174,9.6,79.5,8.5
Chicken Breast,202,45.7,50.1,26.8
Coffee,517,10.2,68.2,42.8
Banana,230,3.4,92.2,5.4
Chocolate,318,17.2,13.3,2.2
Butter,285,28.6,83.6,31.6
Water,145,6.5,42.5,6.8
Nuts,169,33.9,89.2,22.5
Carrot,530,14.0,71.0,5.6
Strawberry,255,18.3,18.8,15.4
Tomato,276,24.4,75.4,23.2
Banana,381,41.2,67.4,37.8
Water,595,4.3,54.9,10.0
Pasta,548,25.2,99.5,10.7
Pasta,236,18.8,10.2,7.6
Coffee,446,14.3,5.1,9.8
Water,353,6.8,5.6,4.4
Orange Juice,62,41.7,75.7,15.2
Quinoa,539,28.0,40.5,30.3
Pork Chop,381,24.2,73.9,31.1
Cheese,483,36.4,77.6,14.1
Cookies,231,35.3,65.8,45.8
Chocolate,280,14.1,15.8,18.7
Milkshake,124,34.6,21.6,31.7
Eggs,156,24.0,11.2,15.1
Chicken Breast,61,14.6,56.2,47.9
Pork Chop,488,29.8,25.2,20.8
Orange,59,27.5,12.8,24.1
Oats,589,13.0,30.9,14.9
Cookies,281,45.4,67.6,15.5
Chocolate,569,38.9,61.8,8.0
Carrot,103,14.0,75.4,27.3
Strawberry,560,18.0,78.5,5.6
Tomato,371,35.7,63.7,9.4
Spinach,315,30.1,52.7,30.1
Pork Chop,443,31.7,52.0,45.4
Broccoli,517,44.2,67.5,17.9
Carrot,90,42.4,18.4,8.2
Broccoli,184,15.7,97.1,44.5
Pasta,534,5.8,57.5,32.0
Butter,177,36.7,34.8,43.1
Bread,474,46.8,58.5,24.0
Milkshake,495,21.8,85.7,47.1
Pasta,400,6.4,25.0,40.4
Cookies,217,10.5,71.0,12.5
Cheese,142,32.9,15.8,29.6
Milk,500,20.9,98.4,39.6
Cheese,124,4.3,17.2,13.4
Cheese,240,45.6,28.3,26.7
Water,377,49.0,69.5,2.8
Popcorn,528,37.2,75.1,3.4
Paneer,587,6.7,35.7,34.5
Green Tea,194,44.1,49.1,48.4
Apple,132,8.0,82.9,8.9
Potato,113,47.7,55.7,34.3
Orange Juice,278,48.8,41.2,32.6
Pork Chop,207,14.7,51.5,14.0
Oats,430,2.7,84.9,7.5
Broccoli,128,21.6,79.4,9.1
Banana,211,29.0,30.7,6.6
Grapes,320,39.7,82.7,14.8
Yogurt,426,7.7,53.3,13.5
Cookies,88,5.4,71.7,34.7
Spinach,342,14.6,82.2,21.3
Potato,137,2.9,65.0,38.4
Paneer,321,46.4,73.4,16.4
Chicken Breast,355,18.3,73.6,20.1
Potato,166,19.3,23.4,27.3
Banana,365,36.4,25.8,12.7
Water,439,46.8,24.6,11.3
Apple,92,41.4,98.5,29.6
Spinach,112,6.0,55.0,4.6
Spinach,574,38.1,49.4,24.5
Salmon,430,30.9,73.9,37.4
Popcorn,98,41.7,64.8,32.3
Quinoa,316,29.1,65.7,36.3
Broccoli,300,41.2,93.4,25.4
Banana,429,34.8,25.4,45.3
Orange Juice,340,23.1,88.0,11.2
Green Tea,592,39.9,19.1,12.0
Carrot,512,12.9,33.6,23.3
Orange,57,15.1,48.3,8.6
Oats,469,31.6,13.1,49.5
Tomato,556,30.3,75.0,29.4
Salmon,297,35.0,42.0,1.0
Orange,220,37.3,7.2,35.8
Eggs,114,39.9,77.5,48.5
Broccoli,354,3.5,18.1,44.5
Chicken Breast,169,22.7,64.2,19.1
Chicken Breast,137,32.2,8.4,17.2
Potato,349,43.6,37.6,9.5
Bread,156,22.6,69.8,25.4
Banana,553,20.0,55.9,46.2
Banana,282,27.4,94.7,4.4
Yogurt,206,13.3,31.5,28.0
Eggs,504,6.7,85.9,16.5
Yogurt,109,26.0,45.0,44.4
Carrot,131,2.9,59.4,40.0
Carrot,118,45.0,14.7,25.5
Milkshake,406,3.9,38.1,30.0
Oats,592,28.3,44.3,9.0
Pasta,444,27.1,34.8,9.6
Orange,150,11.4,12.9,28.7
Butter,135,42.1,27.9,4.3
Pasta,510,43.8,30.2,21.0
Orange,190,49.9,9.5,33.2
Carrot,410,49.5,20.2,46.7
Yogurt,494,34.6,13.3,30.7
Spinach,116,4.6,21.9,21.9
Quinoa,227,21.8,12.8,9.3
Quinoa,595,46.0,67.9,30.8
Chocolate,185,14.4,32.9,19.7
Oats,156,1.6,57.6,1.2
Popcorn,169,34.7,54.5,35.8
Water,228,7.0,72.8,27.1
Beef Steak,229,1.8,8.2,8.1
Coffee,309,30.2,59.2,35.1
Orange Juice,518,29.2,55.4,10.2
Water,297,5.8,22.4,11.0
Tomato,403,38.1,13.5,23.0
Water,195,10.3,19.6,17.4
Chips,497,33.1,87.3,2.4
Orange,286,5.1,11.7,36.9
Quinoa,277,19.6,67.6,36.4
Spinach,318,2.7,42.9,27.7
Milk,98,15.9,14.0,2.7
Apple,137,5.4,9.0,36.6
Popcorn,326,23.0,92.0,9.8
Pasta,348,11.6,94.7,42.2
Chocolate,414,12.4,87.4,26.0
Rice,200,21.0,25.3,47.8
Apple,487,3.0,42.7,7.7
Orange,574,19.6,37.8,6.2
Paneer,135,4.0,31.0,23.7
Orange,289,16.5,16.7,41.3
Eggs,83,9.3,94.2,12.6
Green Tea,516,14.5,52.3,17.7
Banana,121,38.7,36.6,14.6
Grapes,57,48.3,27.0,33.6
Cookies,126,40.9,44.8,8.5
Strawberry,441,30.2,9.2,14.9
Eggs,444,17.2,33.1,39.5
Butter,521,41.6,43.3,13.7
Oats,341,20.9,90.7,45.6
Banana,145,44.4,99.4,38.3
Paneer,224,22.6,40.7,9.7
Orange Juice,358,9.4,56.5,31.8
Cheese,92,8.2,48.1,17.8
Coffee,150,22.9,81.9,28.6
Tomato,309,42.6,50.6,12.3
Orange Juice,580,29.9,48.3,19.0
Banana,125,21.4,63.6,6.5
Grapes,510,42.5,36.1,39.5
Potato,82,48.7,49.2,32.7
Chips,354,31.5,76.1,25.6
Potato,595,39.8,62.9,29.7
Chocolate,346,36.7,50.8,35.0
Yogurt,229,4.7,31.1,9.2
Yogurt,537,35.8,46.2,28.8
Rice,349,34.5,75.7,48.7
Chocolate,573,11.3,77.7,5.2
Milkshake,193,23.3,6.7,1.9
Orange,146,23.4,38.6,13.1
Orange Juice,244,41.9,86.1,13.0
Bread,486,9.1,52.7,10.3
Paneer,53,28.8,5.2,28.5
Orange Juice,549,32.9,47.5,25.5
Milk,388,43.2,20.1,31.4
Oats,82,8.4,5.1,11.0
Salmon,51,13.5,82.3,40.8
Apple,223,28.1,19.9,49.8
Spinach,265,27.6,63.9,14.9
Tomato,114,26.2,9.0,20.4
Green Tea,555,46.0,98.3,27.5
Orange,447,45.8,91.3,25.3
Carrot,144,15.4,70.0,25.5
Popcorn,149,23.3,92.7,14.1
Chips,575,9.8,88.7,28.3
Salmon,160,11.7,92.2,13.9
Quinoa,548,45.3,55.0,24.3
Spinach,280,20.1,67.4,18.5
Green Tea,101,9.6,50.2,1.0
Popcorn,578,10.1,35.2,28.1
Spinach,426,23.9,31.7,39.0
Cookies,107,31.7,35.1,13.1
Rice,70,24.5,53.3,43.1
Banana,397,2.5,66.2,36.5
Oats,415,8.2,53.1,45.1
Banana,269,2.5,78.1,9.5
Grapes,495,28.5,80.3,49.1
Milk,230,11.8,95.0,32.8
Tomato,98,18.3,59.4,31.6
Eggs,188,26.5,42.2,23.3
Banana,496,32.6,94.7,46.6
Strawberry,146,35.2,56.5,5.1
Yogurt,445,24.6,32.6,46.4
Eggs,76,40.0,22.6,11.2
Eggs,588,35.8,11.8,12.7
Rice,563,32.8,53.7,14.6
Chips,475,47.2,70.1,10.1
Pork Chop,211,13.7,52.8,44.6
Orange Juice,546,46.9,57.1,35.9
Milkshake,527,13.7,77.4,40.8
Quinoa,550,27.1,14.0,24.2
Paneer,417,12.7,62.9,26.9
Chicken Breast,515,25.3,78.0,4.7
Quinoa,265,3.5,60.3,36.8
Grapes,428,49.0,49.5,20.2
Coffee,529,37.1,69.9,18.0
Butter,183,44.4,80.2,12.6
Bread,87,33.8,95.7,11.5
Orange Juice,326,17.3,77.9,19.2
Bread,502,20.8,97.5,29.3
Butter,377,33.0,91.0,46.6
Coffee,246,43.0,68.0,18.2
Pasta,375,28.3,12.6,23.3
Bread,394,2.0,85.5,21.7
Quinoa,598,37.3,26.1,3.1
Broccoli,267,4.9,74.6,49.0
Popcorn,496,15.5,12.5,19.3
Chicken Breast,65,21.7,87.9,15.5
Spinach,82,13.7,30.8,22.9
Chips,532,15.4,43.5,1.9
Cookies,422,4.1,39.4,2.0
Bread,208,4.0,15.1,25.5
Apple,452,21.8,26.7,6.5
Tomato,558,33.0,84.0,13.6
Salmon,212,43.9,63.5,1.3
Cheese,436,21.0,32.1,34.2
Chicken Breast,331,29.8,77.8,31.6
Broccoli,498,34.9,83.9,2.8
Banana,332,30.9,38.7,31.3
Orange,158,16.8,15.8,3.6
Chicken Breast,152,17.7,52.5,32.5
Strawberry,114,20.3,9.7,2.4
Chicken Breast,441,10.0,54.0,29.6
Yogurt,419,46.9,91.7,9.5
Broccoli,150,29.8,33.5,12.0
Apple,522,34.3,85.7,15.5
Water,337,42.0,79.2,38.8
Orange Juice,414,26.7,51.9,19.4
Chips,147,22.3,45.2,3.5
Milk,348,38.9,37.1,13.0
Strawberry,545,26.0,21.8,39.7
Chocolate,339,1.2,93.0,16.1
Green Tea,466,7.8,74.3,31.6
Cookies,259,47.3,88.4,42.9
Cheese,394,25.7,13.5,29.1
Chips,459,10.4,97.4,41.7
Banana,271,9.8,81.9,48.3
Milkshake,426,16.9,53.3,13.2
Apple,84,47.6,46.7,2.2
Beef Steak,584,33.2,27.0,2.3
Popcorn,183,43.7,79.6,7.5
Chicken Breast,385,25.8,8.9,49.5
Butter,344,9.5,24.4,12.4
Broccoli,576,10.9,83.8,40.9
Tomato,545,25.5,19.8,8.7
Chocolate,142,25.2,99.4,35.1
Beef Steak,495,41.8,54.1,27.4
Bread,280,48.4,48.9,2.8
Paneer,482,41.2,69.4,43.2
Milk,574,43.2,27.4,44.4
Cookies,207,1.9,84.4,34.9
Orange Juice,215,33.2,86.7,32.9
Broccoli,137,11.9,45.0,8.2
Green Tea,113,42.4,32.3,29.2
Spinach,83,25.3,84.5,39.1
Pasta,180,44.1,88.0,24.0
Quinoa,546,47.0,27.1,10.9
Chips,238,50.0,43.4,8.4
Popcorn,600,27.1,58.4,35.9
Nuts,517,3.7,67.2,36.4
Eggs,227,11.8,18.1,13.5
Oats,366,12.5,60.0,41.2
Chocolate,394,23.5,41.2,19.9
Eggs,117,49.7,58.8,14.9
Potato,170,39.5,54.0,28.3
Banana,316,13.0,20.1,17.2
Banana,183,14.8,6.1,39.9
Potato,208,25.3,84.6,48.0
Orange Juice,247,23.7,53.1,18.1
Apple,521,16.2,52.5,42.4
Paneer,535,17.8,91.8,26.1
Pasta,502,40.8,64.8,30.3
Chocolate,108,44.5,81.6,42.9
Spinach,484,31.2,10.6,28.3
Chicken Breast,399,5.6,70.9,29.2
Apple,98,41.9,63.2,8.4
Orange Juice,239,47.7,55.5,11.5
Yogurt,417,1.1,99.8,21.8
Rice,592,31.4,10.6,16.7
Yogurt,117,26.0,10.3,47.7
Nuts,436,8.6,78.4,37.9
Cookies,317,31.5,17.2,8.3
Salmon,548,43.0,55.8,48.7
Paneer,112,23.5,82.4,11.3
Cookies,449,3.0,68.9,47.7
Milk,374,40.7,87.5,49.8
Banana,317,24.5,12.4,31.0
Chicken Breast,257,1.2,57.7,14.5
Chicken Breast,504,40.4,16.4,25.9
Popcorn,505,9.8,35.8,8.0
Cookies,179,34.2,43.0,16.0
Chips,330,38.2,41.0,18.3
Cookies,115,41.7,9.6,24.6
Bread,109,34.1,62.1,14.4
Tomato,195,22.9,62.8,47.9
Orange Juice,463,33.0,78.2,36.4
Cheese,96,48.2,15.3,43.4
Chips,525,40.0,36.0,5.2
Carrot,545,21.7,80.1,5.4
Bread,180,47.8,57.1,35.4
Quinoa,212,2.8,62.1,37.7
Cookies,443,43.0,19.4,28.2
Salmon,306,22.7,97.4,11.3
Grapes,357,36.2,28.2,22.7
Pork Chop,251,22.9,50.1,17.0
Cheese,186,46.7,30.4,23.5
Cookies,367,3.1,30.6,8.5
Eggs,132,48.8,41.9,37.1
Banana,369,25.7,31.8,19.8
Yogurt,376,9.3,45.3,27.7
Popcorn,358,16.0,11.9,49.2
Oats,331,13.5,23.4,15.5
Yogurt,92,28.5,35.9,48.1
Potato,353,22.0,61.5,38.4
Grapes,392,25.2,56.0,15.3
Spinach,444,18.7,86.0,25.6
Green Tea,71,20.0,40.9,15.4
Potato,464,5.6,11.3,32.5
Chocolate,592,6.0,46.3,7.3
Coffee,80,1.2,84.8,10.8
Yogurt,108,34.2,78.0,41.0
Milk,358,31.5,42.0,13.9
Quinoa,237,23.2,34.5,24.3
Pork Chop,296,45.1,28.9,28.9
Chips,535,13.0,65.6,4.5
Orange,410,20.4,13.8,23.2
Quinoa,221,8.9,34.3,19.1
Butter,489,28.0,26.7,44.9
Strawberry,172,22.8,93.8,24.4
Chips,429,34.7,95.0,18.3
Water,560,32.6,61.5,18.9
Oats,170,44.5,66.0,4.5
Cheese,149,16.2,53.3,18.5
Beef Steak,88,14.3,53.0,23.1
Strawberry,476,46.1,69.9,19.6
Oats,258,8.5,88.1,11.5
Beef Steak,272,44.7,33.2,45.9
Butter,585,34.1,89.5,8.2
Orange,303,41.8,12.0,37.7
Popcorn,480,7.3,35.0,26.4
Green Tea,119,21.5,79.6,25.9
Milk,219,12.1,17.1,22.7
Yogurt,336,49.2,99.3,18.4
Milk,193,29.9,53.8,24.4
Nuts,447,45.1,88.5,5.2
Yogurt,596,40.8,97.0,19.8
Quinoa,523,24.1,39.8,10.1
Coffee,187,21.4,7.4,24.6
Milk,325,13.6,79.3,28.8
Broccoli,149,34.4,51.5,40.6
Milkshake,528,49.4,34.2,41.0
Chips,52,19.3,7.2,44.2
Strawberry,251,5.8,80.9,18.9
Pork Chop,358,43.5,73.1,8.9
Salmon,313,25.4,63.2,27.2
Spinach,186,39.6,38.1,2.1
Oats,73,13.3,85.4,19.0
Strawberry,399,9.8,26.1,41.5
Rice,413,4.6,58.6,43.3
Salmon,581,25.1,62.3,12.8
Nuts,495,26.4,66.4,10.3
Milk,187,38.1,61.4,30.5
Cookies,355,32.4,20.9,25.2
Tomato,555,31.4,75.4,7.8
Potato,326,12.2,65.4,13.6
Milkshake,376,11.8,44.1,37.9
Orange,579,19.6,30.1,18.8
Grapes,206,19.9,92.9,22.9
Broccoli,163,36.7,37.4,3.9
Cheese,558,6.5,87.9,45.3
Chocolate,156,39.4,24.1,28.4
Potato,283,34.9,98.5,40.2
Cookies,490,45.6,18.4,43.7
Beef Steak,260,5.7,34.6,45.5
Rice,441,43.1,59.1,18.6
Tomato,70,47.7,45.6,43.4
Butter,109,12.9,22.3,47.9
Spinach,307,3.4,32.9,37.0
Grapes,561,8.2,72.1,36.1
Pork Chop,54,32.7,91.4,49.2
Pork Chop,491,19.5,58.8,42.6
Chocolate,598,31.4,45.7,47.2
Broccoli,458,13.1,35.1,31.2
Broccoli,89,33.4,85.4,13.8
Popcorn,184,42.2,26.4,40.7
Green Tea,237,20.7,51.6,39.5
Orange Juice,453,28.9,16.2,2.5
Milkshake,364,22.2,90.4,46.5
Carrot,509,19.7,24.6,42.1
Milkshake,301,17.5,90.1,32.4
Coffee,527,47.8,18.2,38.5
Paneer,444,28.2,59.9,5.3
Orange Juice,513,12.2,93.0,17.9
Apple,508,2.6,77.5,5.4
Chicken Breast,504,13.5,68.1,7.7
Quinoa,217,32.8,54.2,13.6
Quinoa,266,36.7,32.8,8.0
Rice,227,6.2,17.0,29.2
Spinach,203,18.3,45.8,35.4
Butter,461,26.8,62.8,43.7
Milkshake,552,27.0,95.7,36.7
Banana,440,46.0,18.8,6.6
Nuts,170,20.7,57.7,36.9
Green Tea,573,10.1,97.1,7.5
Paneer,95,31.7,22.4,39.5
Coffee,113,42.7,98.3,16.8
Tomato,236,1.2,34.7,40.0
Eggs,248,4.4,75.7,38.3
Chips,362,5.8,65.7,26.6
Yogurt,161,38.3,53.6,4.8
Paneer,385,47.0,46.1,37.0
Oats,472,3.6,71.1,11.5
Broccoli,263,29.9,22.2,43.6
Nuts,590,10.9,69.9,32.3
Orange,546,10.1,82.7,4.9
Pork Chop,507,13.5,84.7,17.0
Cheese,392,19.9,54.9,36.6
Coffee,463,42.3,20.1,25.2
Tomato,571,8.8,71.1,5.8
Butter,478,27.5,26.5,12.5
Strawberry,253,23.8,98.7,14.9
Chocolate,137,4.9,10.7,2.5
Oats,181,36.1,86.2,37.0
Bread,406,5.7,59.6,17.6
Broccoli,87,24.3,58.0,24.7
Nuts,390,10.1,54.4,45.5
Rice,284,42.5,94.0,15.6
Apple,461,15.3,99.2,11.7
Oats,162,2.0,75.1,16.6
